,T,WAM.TN,WAM.FP,WAM.FN,WAM.TP,WAM.Rc,WAM.Pr,WAM.F1,WAM.Sn,WAM.Sp,Tpr,Fpr,T,BN.TN,BN.FP,BN.FN,BN.TP,BN.Rc,BN.Pr,BN.F1,BN.Sn,BN.Sp,Tpr,Fpr,T,SVM.TN,SVM.FP,SVM.FN,SVM.TP,SVM.Rc,SVM.Pr,SVM.F1,SVM.Sn,SVM.Sp,Tpr,Fpr
0,-40.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-40.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-40.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
1,-39.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-39.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-39.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
2,-39.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-39.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-39.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
3,-38.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-38.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-38.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
4,-38.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-38.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-38.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
5,-37.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-37.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-37.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
6,-37.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-37.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-37.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
7,-36.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-36.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-36.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
8,-36.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-36.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-36.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
9,-35.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-35.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-35.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
10,-35.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-35.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-35.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
11,-34.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-34.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-34.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
12,-34.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-34.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-34.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
13,-33.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-33.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-33.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
14,-33.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-33.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-33.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
15,-32.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-32.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-32.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
16,-32.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-32.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-32.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
17,-31.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-31.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-31.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
18,-31.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-31.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-31.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
19,-30.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-30.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-30.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
20,-30.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-30.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-30.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
21,-29.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-29.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-29.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
22,-29.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-29.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-29.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
23,-28.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-28.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-28.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
24,-28.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-28.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-28.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
25,-27.5,1,2360,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-27.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-27.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
26,-27.0,2,2359,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-27.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-27.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
27,-26.5,6,2355,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-26.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-26.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
28,-26.0,7,2354,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-26.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-26.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
29,-25.5,11,2350,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-25.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-25.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
30,-25.0,16,2345,0,2639,1.0,0.53,0.69,1.0,0.01,1.0,0.99,-25.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-25.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
31,-24.5,41,2320,0,2639,1.0,0.53,0.69,1.0,0.02,1.0,0.98,-24.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-24.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
32,-24.0,58,2303,0,2639,1.0,0.53,0.7,1.0,0.02,1.0,0.98,-24.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-24.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
33,-23.5,74,2287,0,2639,1.0,0.54,0.7,1.0,0.03,1.0,0.97,-23.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-23.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
34,-23.0,104,2257,0,2639,1.0,0.54,0.7,1.0,0.04,1.0,0.96,-23.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-23.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
35,-22.5,122,2239,0,2639,1.0,0.54,0.7,1.0,0.05,1.0,0.95,-22.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-22.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
36,-22.0,136,2225,0,2639,1.0,0.54,0.7,1.0,0.06,1.0,0.94,-22.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-22.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
37,-21.5,156,2205,0,2639,1.0,0.54,0.71,1.0,0.07,1.0,0.93,-21.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-21.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
38,-21.0,177,2184,0,2639,1.0,0.55,0.71,1.0,0.07,1.0,0.93,-21.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-21.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
39,-20.5,196,2165,0,2639,1.0,0.55,0.71,1.0,0.08,1.0,0.92,-20.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-20.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
40,-20.0,228,2133,0,2639,1.0,0.55,0.71,1.0,0.1,1.0,0.9,-20.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-20.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
41,-19.5,256,2105,0,2639,1.0,0.56,0.71,1.0,0.11,1.0,0.89,-19.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-19.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
42,-19.0,290,2071,0,2639,1.0,0.56,0.72,1.0,0.12,1.0,0.88,-19.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-19.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
43,-18.5,337,2024,0,2639,1.0,0.57,0.72,1.0,0.14,1.0,0.86,-18.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-18.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
44,-18.0,381,1980,0,2639,1.0,0.57,0.73,1.0,0.16,1.0,0.84,-18.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-18.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
45,-17.5,431,1930,0,2639,1.0,0.58,0.73,1.0,0.18,1.0,0.82,-17.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-17.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
46,-17.0,514,1847,0,2639,1.0,0.59,0.74,1.0,0.22,1.0,0.78,-17.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-17.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
47,-16.5,571,1790,0,2639,1.0,0.6,0.75,1.0,0.24,1.0,0.76,-16.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-16.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
48,-16.0,643,1718,0,2639,1.0,0.61,0.75,1.0,0.27,1.0,0.73,-16.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-16.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
49,-15.5,718,1643,0,2639,1.0,0.62,0.76,1.0,0.3,1.0,0.7,-15.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-15.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
50,-15.0,809,1552,0,2639,1.0,0.63,0.77,1.0,0.34,1.0,0.66,-15.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-15.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
51,-14.5,887,1474,0,2639,1.0,0.64,0.78,1.0,0.38,1.0,0.62,-14.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-14.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
52,-14.0,986,1375,0,2639,1.0,0.66,0.79,1.0,0.42,1.0,0.58,-14.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-14.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
53,-13.5,1058,1303,0,2639,1.0,0.67,0.8,1.0,0.45,1.0,0.55,-13.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-13.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
54,-13.0,1136,1225,0,2639,1.0,0.68,0.81,1.0,0.48,1.0,0.52,-13.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-13.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
55,-12.5,1213,1148,0,2639,1.0,0.7,0.82,1.0,0.51,1.0,0.49,-12.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-12.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
56,-12.0,1317,1044,0,2639,1.0,0.72,0.83,1.0,0.56,1.0,0.44,-12.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-12.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
57,-11.5,1387,974,0,2639,1.0,0.73,0.84,1.0,0.59,1.0,0.41,-11.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-11.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
58,-11.0,1462,899,0,2639,1.0,0.75,0.85,1.0,0.62,1.0,0.38,-11.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-11.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
59,-10.5,1539,822,0,2639,1.0,0.76,0.87,1.0,0.65,1.0,0.35,-10.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-10.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
60,-10.0,1608,753,0,2639,1.0,0.78,0.88,1.0,0.68,1.0,0.32,-10.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-10.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
61,-9.5,1662,699,0,2639,1.0,0.79,0.88,1.0,0.7,1.0,0.3,-9.5,680,1681,0,2639,1.0,0.61,0.76,1.0,0.29,1.0,0.71,-9.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
62,-9.0,1721,640,0,2639,1.0,0.8,0.89,1.0,0.73,1.0,0.27,-9.0,1530,831,0,2639,1.0,0.76,0.86,1.0,0.65,1.0,0.35,-9.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
63,-8.5,1769,592,0,2639,1.0,0.82,0.9,1.0,0.75,1.0,0.25,-8.5,1741,620,0,2639,1.0,0.81,0.89,1.0,0.74,1.0,0.26,-8.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
64,-8.0,1811,550,0,2639,1.0,0.83,0.91,1.0,0.77,1.0,0.23,-8.0,1741,620,0,2639,1.0,0.81,0.89,1.0,0.74,1.0,0.26,-8.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
65,-7.5,1865,496,0,2639,1.0,0.84,0.91,1.0,0.79,1.0,0.21,-7.5,1741,620,0,2639,1.0,0.81,0.89,1.0,0.74,1.0,0.26,-7.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
66,-7.0,1908,453,1,2638,1.0,0.85,0.92,1.0,0.81,1.0,0.19,-7.0,1784,577,0,2639,1.0,0.82,0.9,1.0,0.76,1.0,0.24,-7.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
67,-6.5,1948,413,1,2638,1.0,0.86,0.93,1.0,0.83,1.0,0.17,-6.5,1818,543,0,2639,1.0,0.83,0.91,1.0,0.77,1.0,0.23,-6.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
68,-6.0,1986,375,3,2636,1.0,0.88,0.93,1.0,0.84,1.0,0.16,-6.0,1923,438,0,2639,1.0,0.86,0.92,1.0,0.81,1.0,0.19,-6.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
69,-5.5,2020,341,3,2636,1.0,0.89,0.94,1.0,0.86,1.0,0.14,-5.5,1951,410,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-5.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
70,-5.0,2047,314,4,2635,1.0,0.89,0.94,1.0,0.87,1.0,0.13,-5.0,1957,404,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-5.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
71,-4.5,2079,282,6,2633,1.0,0.9,0.95,1.0,0.88,1.0,0.12,-4.5,1957,404,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-4.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
72,-4.0,2107,254,6,2633,1.0,0.91,0.95,1.0,0.89,1.0,0.11,-4.0,1957,404,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-4.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73,-3.5,2140,221,6,2633,1.0,0.92,0.96,1.0,0.91,1.0,0.09,-3.5,1957,404,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-3.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,-3.0,2160,201,8,2631,1.0,0.93,0.96,1.0,0.91,1.0,0.09,-3.0,1959,402,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-3.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
75,-2.5,2179,182,8,2631,1.0,0.94,0.97,1.0,0.92,1.0,0.08,-2.5,1959,402,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-2.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
76,-2.0,2207,154,8,2631,1.0,0.94,0.97,1.0,0.93,1.0,0.07,-2.0,1959,402,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-2.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
77,-1.5,2228,133,11,2628,1.0,0.95,0.97,1.0,0.94,1.0,0.06,-1.5,1959,402,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-1.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
